Model,Accuracy,AUC,F1 Score,Precision,Recall,Optimal Threshold
baseline,0.7500,0.8242,0.8000,0.6667,1.0000,0.7180
improved,0.5625,0.6406,0.6957,0.5333,1.0000,0.9369
