Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Optimal Threshold,Optimal Sensitivity,Optimal Specificity,Average Precision,Total Pairs,Positive Pairs,Negative Pairs,Mean Similarity,Std Similarity,Pos Mean Similarity,Pos Std Similarity,Neg Mean Similarity,Neg Std Similarity
baseline,0.75,0.6667,1.0,0.8,0.8242,0.718,0.875,0.6875,0.8198,32,16,16,0.7212,0.0902,0.7704,0.0415,0.672,0.0985
improved,0.5625,0.5333,1.0,0.6957,0.6406,0.9369,0.4375,0.8125,0.6789,32,16,16,0.9183,0.0304,0.9271,0.0237,0.9095,0.0336
